aggregation,source,source_role,generation_seed,baseline,api_group,category,n_total,n_known,n_true,n_false,n_unknown,failure_rate_known,failure_rate_total_lower_bound
baseline_group,campaign_combined,campaign_combined,__ALL__,B0,convolution_and_pooling,timeout,24,24,0,24,0,0.0,0.0
baseline_group,campaign_combined,campaign_combined,__ALL__,B0,convolution_and_pooling,missing_oracle,24,24,24,0,0,1.0,1.0
baseline_group,campaign_combined,campaign_combined,__ALL__,B0,convolution_and_pooling,oracle_not_executed,24,24,0,24,0,0.0,0.0
baseline_group,campaign_combined,campaign_combined,__ALL__,B0,convolution_and_pooling,fake_assertion,24,24,0,24,0,0.0,0.0
baseline_group,campaign_combined,campaign_combined,__ALL__,B0,convolution_and_pooling,broad_exception_swallowing,24,24,0,24,0,0.0,0.0
baseline_group,campaign_combined,campaign_combined,__ALL__,B0,convolution_and_pooling,target_not_executed,24,24,0,24,0,0.0,0.0
baseline_group,campaign_combined,campaign_combined,__ALL__,B0,convolution_and_pooling,truncated_generation,24,24,0,24,0,0.0,0.0
baseline_group,campaign_combined,campaign_combined,__ALL__,B0,convolution_and_pooling,nondeterministic_failure,24,0,0,0,24,,0.0
baseline_group,campaign_combined,campaign_combined,__ALL__,B0,fft_and_spectral,syntax_error,24,24,0,24,0,0.0,0.0
baseline_group,campaign_combined,campaign_combined,__ALL__,B0,fft_and_spectral,wrong_or_missing_target_api,24,24,0,24,0,0.0,0.0
baseline_group,campaign_combined,campaign_combined,__ALL__,B0,fft_and_spectral,missing_import,24,24,0,24,0,0.0,0.0
baseline_group,campaign_combined,campaign_combined,__ALL__,B0,fft_and_spectral,shape_or_dtype_error,24,24,0,24,0,0.0,0.0
baseline_group,campaign_combined,campaign_combined,__ALL__,B0,fft_and_spectral,index_or_bounds_error,24,24,0,24,0,0.0,0.0
baseline_group,campaign_combined,campaign_combined,__ALL__,B0,fft_and_spectral,undefined_name_error,24,24,0,24,0,0.0,0.0
baseline_group,campaign_combined,campaign_combined,__ALL__,B0,fft_and_spectral,argument_signature_error,24,24,0,24,0,0.0,0.0
baseline_group,campaign_combined,campaign_combined,__ALL__,B0,fft_and_spectral,dependency_import_error,24,24,0,24,0,0.0,0.0
baseline_group,campaign_combined,campaign_combined,__ALL__,B0,fft_and_spectral,setup_or_environment_error,24,24,0,24,0,0.0,0.0
baseline_group,campaign_combined,campaign_combined,__ALL__,B0,fft_and_spectral,resource_exhaustion,24,24,0,24,0,0.0,0.0
baseline_group,campaign_combined,campaign_combined,__ALL__,B0,fft_and_spectral,runtime_error_other,24,24,0,24,0,0.0,0.0
baseline_group,campaign_combined,campaign_combined,__ALL__,B0,fft_and_spectral,assertion_failure,24,24,0,24,0,0.0,0.0
baseline_group,campaign_combined,campaign_combined,__ALL__,B0,fft_and_spectral,timeout,24,24,0,24,0,0.0,0.0
baseline_group,campaign_combined,campaign_combined,__ALL__,B0,fft_and_spectral,missing_oracle,24,24,24,0,0,1.0,1.0
baseline_group,campaign_combined,campaign_combined,__ALL__,B0,fft_and_spectral,oracle_not_executed,24,24,0,24,0,0.0,0.0
baseline_group,campaign_combined,campaign_combined,__ALL__,B0,fft_and_spectral,fake_assertion,24,24,0,24,0,0.0,0.0
baseline_group,campaign_combined,campaign_combined,__ALL__,B0,fft_and_spectral,broad_exception_swallowing,24,24,0,24,0,0.0,0.0
baseline_group,campaign_combined,campaign_combined,__ALL__,B0,fft_and_spectral,target_not_executed,24,24,0,24,0,0.0,0.0
baseline_group,campaign_combined,campaign_combined,__ALL__,B0,fft_and_spectral,truncated_generation,24,24,0,24,0,0.0,0.0
baseline_group,campaign_combined,campaign_combined,__ALL__,B0,fft_and_spectral,nondeterministic_failure,24,0,0,0,24,,0.0
baseline_group,campaign_combined,campaign_combined,__ALL__,B0,indexing_gather_and_scatter,syntax_error,24,24,0,24,0,0.0,0.0
baseline_group,campaign_combined,campaign_combined,__ALL__,B0,indexing_gather_and_scatter,wrong_or_missing_target_api,24,24,0,24,0,0.0,0.0
baseline_group,campaign_combined,campaign_combined,__ALL__,B0,indexing_gather_and_scatter,missing_import,24,24,0,24,0,0.0,0.0
baseline_group,campaign_combined,campaign_combined,__ALL__,B0,indexing_gather_and_scatter,shape_or_dtype_error,24,24,0,24,0,0.0,0.0
baseline_group,campaign_combined,campaign_combined,__ALL__,B0,indexing_gather_and_scatter,index_or_bounds_error,24,24,0,24,0,0.0,0.0
baseline_group,campaign_combined,campaign_combined,__ALL__,B0,indexing_gather_and_scatter,undefined_name_error,24,24,0,24,0,0.0,0.0
baseline_group,campaign_combined,campaign_combined,__ALL__,B0,indexing_gather_and_scatter,argument_signature_error,24,24,0,24,0,0.0,0.0
baseline_group,campaign_combined,campaign_combined,__ALL__,B0,indexing_gather_and_scatter,dependency_import_error,24,24,0,24,0,0.0,0.0
baseline_group,campaign_combined,campaign_combined,__ALL__,B0,indexing_gather_and_scatter,setup_or_environment_error,24,24,0,24,0,0.0,0.0
baseline_group,campaign_combined,campaign_combined,__ALL__,B0,indexing_gather_and_scatter,resource_exhaustion,24,24,0,24,0,0.0,0.0
baseline_group,campaign_combined,campaign_combined,__ALL__,B0,indexing_gather_and_scatter,runtime_error_other,24,24,0,24,0,0.0,0.0
baseline_group,campaign_combined,campaign_combined,__ALL__,B0,indexing_gather_and_scatter,assertion_failure,24,24,0,24,0,0.0,0.0
baseline_group,campaign_combined,campaign_combined,__ALL__,B0,indexing_gather_and_scatter,timeout,24,24,0,24,0,0.0,0.0
baseline_group,campaign_combined,campaign_combined,__ALL__,B0,indexing_gather_and_scatter,missing_oracle,24,24,24,0,0,1.0,1.0
baseline_group,campaign_combined,campaign_combined,__ALL__,B0,indexing_gather_and_scatter,oracle_not_executed,24,24,0,24,0,0.0,0.0
baseline_group,campaign_combined,campaign_combined,__ALL__,B0,indexing_gather_and_scatter,fake_assertion,24,24,0,24,0,0.0,0.0
baseline_group,campaign_combined,campaign_combined,__ALL__,B0,indexing_gather_and_scatter,broad_exception_swallowing,24,24,0,24,0,0.0,0.0
baseline_group,campaign_combined,campaign_combined,__ALL__,B0,indexing_gather_and_scatter,target_not_executed,24,24,0,24,0,0.0,0.0
baseline_group,campaign_combined,campaign_combined,__ALL__,B0,indexing_gather_and_scatter,truncated_generation,24,24,0,24,0,0.0,0.0
baseline_group,campaign_combined,campaign_combined,__ALL__,B0,indexing_gather_and_scatter,nondeterministic_failure,24,0,0,0,24,,0.0
baseline_group,campaign_combined,campaign_combined,__ALL__,B0,linear_algebra,syntax_error,24,24,0,24,0,0.0,0.0
baseline_group,campaign_combined,campaign_combined,__ALL__,B0,linear_algebra,wrong_or_missing_target_api,24,24,0,24,0,0.0,0.0
