aggregation,source,source_role,baseline,api_group,generation_seed,category,n_total,n_known,n_true,n_false,n_unknown,failure_rate_known,failure_rate_total_lower_bound
baseline,events.checkpoint,campaign_checkpoint,B2,__ALL__,__ALL__,nondeterministic_failure,120,0,0,0,120,,0.0
baseline,events.checkpoint,campaign_checkpoint,B3,__ALL__,__ALL__,syntax_error,120,120,118,2,0,0.9833333333333333,0.9833333333333333
baseline,events.checkpoint,campaign_checkpoint,B3,__ALL__,__ALL__,wrong_or_missing_target_api,120,2,0,2,118,0.0,0.0
baseline,events.checkpoint,campaign_checkpoint,B3,__ALL__,__ALL__,missing_import,120,2,0,2,118,0.0,0.0
baseline,events.checkpoint,campaign_checkpoint,B3,__ALL__,__ALL__,shape_or_dtype_error,120,2,0,2,118,0.0,0.0
baseline,events.checkpoint,campaign_checkpoint,B3,__ALL__,__ALL__,index_or_bounds_error,120,2,0,2,118,0.0,0.0
baseline,events.checkpoint,campaign_checkpoint,B3,__ALL__,__ALL__,undefined_name_error,120,2,1,1,118,0.5,0.008333333333333333
baseline,events.checkpoint,campaign_checkpoint,B3,__ALL__,__ALL__,argument_signature_error,120,2,0,2,118,0.0,0.0
baseline,events.checkpoint,campaign_checkpoint,B3,__ALL__,__ALL__,dependency_import_error,120,2,0,2,118,0.0,0.0
baseline,events.checkpoint,campaign_checkpoint,B3,__ALL__,__ALL__,setup_or_environment_error,120,2,0,2,118,0.0,0.0
baseline,events.checkpoint,campaign_checkpoint,B3,__ALL__,__ALL__,resource_exhaustion,120,2,0,2,118,0.0,0.0
baseline,events.checkpoint,campaign_checkpoint,B3,__ALL__,__ALL__,runtime_error_other,120,2,0,2,118,0.0,0.0
baseline,events.checkpoint,campaign_checkpoint,B3,__ALL__,__ALL__,assertion_failure,120,2,0,2,118,0.0,0.0
baseline,events.checkpoint,campaign_checkpoint,B3,__ALL__,__ALL__,timeout,120,120,0,120,0,0.0,0.0
baseline,events.checkpoint,campaign_checkpoint,B3,__ALL__,__ALL__,missing_oracle,120,2,2,0,118,1.0,0.016666666666666666
baseline,events.checkpoint,campaign_checkpoint,B3,__ALL__,__ALL__,oracle_not_executed,120,2,0,2,118,0.0,0.0
baseline,events.checkpoint,campaign_checkpoint,B3,__ALL__,__ALL__,fake_assertion,120,2,0,2,118,0.0,0.0
baseline,events.checkpoint,campaign_checkpoint,B3,__ALL__,__ALL__,broad_exception_swallowing,120,2,0,2,118,0.0,0.0
baseline,events.checkpoint,campaign_checkpoint,B3,__ALL__,__ALL__,target_not_executed,120,2,1,1,118,0.5,0.008333333333333333
baseline,events.checkpoint,campaign_checkpoint,B3,__ALL__,__ALL__,truncated_generation,120,120,120,0,0,1.0,1.0
baseline,events.checkpoint,campaign_checkpoint,B3,__ALL__,__ALL__,nondeterministic_failure,120,0,0,0,120,,0.0
baseline,events.checkpoint_2,campaign_checkpoint,B0,__ALL__,__ALL__,syntax_error,120,120,0,120,0,0.0,0.0
baseline,events.checkpoint_2,campaign_checkpoint,B0,__ALL__,__ALL__,wrong_or_missing_target_api,120,120,0,120,0,0.0,0.0
baseline,events.checkpoint_2,campaign_checkpoint,B0,__ALL__,__ALL__,missing_import,120,120,0,120,0,0.0,0.0
baseline,events.checkpoint_2,campaign_checkpoint,B0,__ALL__,__ALL__,shape_or_dtype_error,120,120,0,120,0,0.0,0.0
baseline,events.checkpoint_2,campaign_checkpoint,B0,__ALL__,__ALL__,index_or_bounds_error,120,120,0,120,0,0.0,0.0
baseline,events.checkpoint_2,campaign_checkpoint,B0,__ALL__,__ALL__,undefined_name_error,120,120,0,120,0,0.0,0.0
baseline,events.checkpoint_2,campaign_checkpoint,B0,__ALL__,__ALL__,argument_signature_error,120,120,0,120,0,0.0,0.0
baseline,events.checkpoint_2,campaign_checkpoint,B0,__ALL__,__ALL__,dependency_import_error,120,120,0,120,0,0.0,0.0
baseline,events.checkpoint_2,campaign_checkpoint,B0,__ALL__,__ALL__,setup_or_environment_error,120,120,0,120,0,0.0,0.0
baseline,events.checkpoint_2,campaign_checkpoint,B0,__ALL__,__ALL__,resource_exhaustion,120,120,0,120,0,0.0,0.0
baseline,events.checkpoint_2,campaign_checkpoint,B0,__ALL__,__ALL__,runtime_error_other,120,120,0,120,0,0.0,0.0
baseline,events.checkpoint_2,campaign_checkpoint,B0,__ALL__,__ALL__,assertion_failure,120,120,0,120,0,0.0,0.0
baseline,events.checkpoint_2,campaign_checkpoint,B0,__ALL__,__ALL__,timeout,120,120,0,120,0,0.0,0.0
baseline,events.checkpoint_2,campaign_checkpoint,B0,__ALL__,__ALL__,missing_oracle,120,120,120,0,0,1.0,1.0
baseline,events.checkpoint_2,campaign_checkpoint,B0,__ALL__,__ALL__,oracle_not_executed,120,120,0,120,0,0.0,0.0
baseline,events.checkpoint_2,campaign_checkpoint,B0,__ALL__,__ALL__,fake_assertion,120,120,0,120,0,0.0,0.0
baseline,events.checkpoint_2,campaign_checkpoint,B0,__ALL__,__ALL__,broad_exception_swallowing,120,120,0,120,0,0.0,0.0
baseline,events.checkpoint_2,campaign_checkpoint,B0,__ALL__,__ALL__,target_not_executed,120,120,0,120,0,0.0,0.0
baseline,events.checkpoint_2,campaign_checkpoint,B0,__ALL__,__ALL__,truncated_generation,120,120,0,120,0,0.0,0.0
baseline,events.checkpoint_2,campaign_checkpoint,B0,__ALL__,__ALL__,nondeterministic_failure,120,0,0,0,120,,0.0
baseline,events.checkpoint_2,campaign_checkpoint,B1,__ALL__,__ALL__,syntax_error,120,120,0,120,0,0.0,0.0
baseline,events.checkpoint_2,campaign_checkpoint,B1,__ALL__,__ALL__,wrong_or_missing_target_api,120,120,6,114,0,0.05,0.05
baseline,events.checkpoint_2,campaign_checkpoint,B1,__ALL__,__ALL__,missing_import,120,120,0,120,0,0.0,0.0
baseline,events.checkpoint_2,campaign_checkpoint,B1,__ALL__,__ALL__,shape_or_dtype_error,120,120,2,118,0,0.016666666666666666,0.016666666666666666
baseline,events.checkpoint_2,campaign_checkpoint,B1,__ALL__,__ALL__,index_or_bounds_error,120,120,0,120,0,0.0,0.0
baseline,events.checkpoint_2,campaign_checkpoint,B1,__ALL__,__ALL__,undefined_name_error,120,120,0,120,0,0.0,0.0
baseline,events.checkpoint_2,campaign_checkpoint,B1,__ALL__,__ALL__,argument_signature_error,120,120,3,117,0,0.025,0.025
baseline,events.checkpoint_2,campaign_checkpoint,B1,__ALL__,__ALL__,dependency_import_error,120,120,0,120,0,0.0,0.0
baseline,events.checkpoint_2,campaign_checkpoint,B1,__ALL__,__ALL__,setup_or_environment_error,120,120,0,120,0,0.0,0.0
baseline,events.checkpoint_2,campaign_checkpoint,B1,__ALL__,__ALL__,resource_exhaustion,120,120,0,120,0,0.0,0.0
baseline,events.checkpoint_2,campaign_checkpoint,B1,__ALL__,__ALL__,runtime_error_other,120,120,4,116,0,0.03333333333333333,0.03333333333333333
baseline,events.checkpoint_2,campaign_checkpoint,B1,__ALL__,__ALL__,assertion_failure,120,120,0,120,0,0.0,0.0
baseline,events.checkpoint_2,campaign_checkpoint,B1,__ALL__,__ALL__,timeout,120,120,0,120,0,0.0,0.0
baseline,events.checkpoint_2,campaign_checkpoint,B1,__ALL__,__ALL__,missing_oracle,120,120,116,4,0,0.9666666666666667,0.9666666666666667
baseline,events.checkpoint_2,campaign_checkpoint,B1,__ALL__,__ALL__,oracle_not_executed,120,120,0,120,0,0.0,0.0
baseline,events.checkpoint_2,campaign_checkpoint,B1,__ALL__,__ALL__,fake_assertion,120,120,0,120,0,0.0,0.0
baseline,events.checkpoint_2,campaign_checkpoint,B1,__ALL__,__ALL__,broad_exception_swallowing,120,120,2,118,0,0.016666666666666666,0.016666666666666666
baseline,events.checkpoint_2,campaign_checkpoint,B1,__ALL__,__ALL__,target_not_executed,120,120,0,120,0,0.0,0.0
baseline,events.checkpoint_2,campaign_checkpoint,B1,__ALL__,__ALL__,truncated_generation,120,120,0,120,0,0.0,0.0
baseline,events.checkpoint_2,campaign_checkpoint,B1,__ALL__,__ALL__,nondeterministic_failure,120,0,0,0,120,,0.0
baseline,events.checkpoint_2,campaign_checkpoint,B2,__ALL__,__ALL__,syntax_error,120,120,45,75,0,0.375,0.375
baseline,events.checkpoint_2,campaign_checkpoint,B2,__ALL__,__ALL__,wrong_or_missing_target_api,120,75,1,74,45,0.013333333333333334,0.008333333333333333
baseline,events.checkpoint_2,campaign_checkpoint,B2,__ALL__,__ALL__,missing_import,120,75,0,75,45,0.0,0.0
baseline,events.checkpoint_2,campaign_checkpoint,B2,__ALL__,__ALL__,shape_or_dtype_error,120,75,0,75,45,0.0,0.0
baseline,events.checkpoint_2,campaign_checkpoint,B2,__ALL__,__ALL__,index_or_bounds_error,120,75,0,75,45,0.0,0.0
baseline,events.checkpoint_2,campaign_checkpoint,B2,__ALL__,__ALL__,undefined_name_error,120,75,1,74,45,0.013333333333333334,0.008333333333333333
baseline,events.checkpoint_2,campaign_checkpoint,B2,__ALL__,__ALL__,argument_signature_error,120,75,0,75,45,0.0,0.0
baseline,events.checkpoint_2,campaign_checkpoint,B2,__ALL__,__ALL__,dependency_import_error,120,75,0,75,45,0.0,0.0
baseline,events.checkpoint_2,campaign_checkpoint,B2,__ALL__,__ALL__,setup_or_environment_error,120,75,0,75,45,0.0,0.0
baseline,events.checkpoint_2,campaign_checkpoint,B2,__ALL__,__ALL__,resource_exhaustion,120,75,0,75,45,0.0,0.0
baseline,events.checkpoint_2,campaign_checkpoint,B2,__ALL__,__ALL__,runtime_error_other,120,75,2,73,45,0.02666666666666667,0.016666666666666666
baseline,events.checkpoint_2,campaign_checkpoint,B2,__ALL__,__ALL__,assertion_failure,120,75,2,73,45,0.02666666666666667,0.016666666666666666
baseline,events.checkpoint_2,campaign_checkpoint,B2,__ALL__,__ALL__,timeout,120,120,0,120,0,0.0,0.0
baseline,events.checkpoint_2,campaign_checkpoint,B2,__ALL__,__ALL__,missing_oracle,120,75,3,72,45,0.04,0.025
baseline,events.checkpoint_2,campaign_checkpoint,B2,__ALL__,__ALL__,oracle_not_executed,120,75,61,14,45,0.8133333333333334,0.5083333333333333
baseline,events.checkpoint_2,campaign_checkpoint,B2,__ALL__,__ALL__,fake_assertion,120,75,2,73,45,0.02666666666666667,0.016666666666666666
baseline,events.checkpoint_2,campaign_checkpoint,B2,__ALL__,__ALL__,broad_exception_swallowing,120,75,1,74,45,0.013333333333333334,0.008333333333333333
baseline,events.checkpoint_2,campaign_checkpoint,B2,__ALL__,__ALL__,target_not_executed,120,75,63,12,45,0.84,0.525
baseline,events.checkpoint_2,campaign_checkpoint,B2,__ALL__,__ALL__,truncated_generation,120,120,109,11,0,0.9083333333333333,0.9083333333333333
baseline,events.checkpoint_2,campaign_checkpoint,B2,__ALL__,__ALL__,nondeterministic_failure,120,0,0,0,120,,0.0
baseline,events.checkpoint_2,campaign_checkpoint,B3,__ALL__,__ALL__,syntax_error,120,120,117,3,0,0.975,0.975
baseline,events.checkpoint_2,campaign_checkpoint,B3,__ALL__,__ALL__,wrong_or_missing_target_api,120,3,0,3,117,0.0,0.0
baseline,events.checkpoint_2,campaign_checkpoint,B3,__ALL__,__ALL__,missing_import,120,3,0,3,117,0.0,0.0
baseline,events.checkpoint_2,campaign_checkpoint,B3,__ALL__,__ALL__,shape_or_dtype_error,120,3,0,3,117,0.0,0.0
baseline,events.checkpoint_2,campaign_checkpoint,B3,__ALL__,__ALL__,index_or_bounds_error,120,3,0,3,117,0.0,0.0
baseline,events.checkpoint_2,campaign_checkpoint,B3,__ALL__,__ALL__,undefined_name_error,120,3,0,3,117,0.0,0.0
baseline,events.checkpoint_2,campaign_checkpoint,B3,__ALL__,__ALL__,argument_signature_error,120,3,0,3,117,0.0,0.0
baseline,events.checkpoint_2,campaign_checkpoint,B3,__ALL__,__ALL__,dependency_import_error,120,3,0,3,117,0.0,0.0
baseline,events.checkpoint_2,campaign_checkpoint,B3,__ALL__,__ALL__,setup_or_environment_error,120,3,0,3,117,0.0,0.0
baseline,events.checkpoint_2,campaign_checkpoint,B3,__ALL__,__ALL__,resource_exhaustion,120,3,0,3,117,0.0,0.0
baseline,events.checkpoint_2,campaign_checkpoint,B3,__ALL__,__ALL__,runtime_error_other,120,3,0,3,117,0.0,0.0
